BatchID,BatchCreatedBy,BatchTimeStamp,BatchFacilityID,ProductID,VirginPO,VirginLot,VirginQty
7860,1068,2019-01-02 15:25:00,4,313,56853,481614,362.8699951171875
7872,1256,2019-01-09 21:09:00,4,211,27808,37,544.3099975585938
8011,1256,2019-03-26 13:54:00,4,513,61747,45,430.0
8081,1256,2019-04-23 20:43:00,4,313,56853,482593,399.0
8175,1256,2019-05-31 21:17:00,4,225,63146,490571,90.8
8184,1256,2019-06-05 20:06:00,4,225,63146,490680,666.78
8186,1256,2019-06-06 16:39:00,4,241,61748,6,400.0
8254,745,2019-07-17 18:27:00,4,261,50050,Y6035B1,100.0
8400,1256,2019-10-01 21:31:00,4,225,63146,490571,122.47
8405,1256,2019-10-03 16:46:00,4,261,,UK84931,106.0
8406,1256,2019-10-03 16:48:00,4,261,,UK84930,188.7
8407,1256,2019-10-03 16:50:00,4,261,,UK84929,169.2
8408,1256,2019-10-03 16:51:00,4,261,,UK84955,110.0
8409,1256,2019-10-03 16:52:00,4,261,,UK84928,136.1
8499,1256,2019-11-21 19:11:00,4,111,63205,US81118,500.0
8680,1256,2020-03-05 15:22:00,4,220,20217,Velo DNI,27.24
8710,1256,2020-03-17 17:34:00,4,226,70515,10,299.37
8712,1256,2020-03-18 16:31:00,4,226,70515,9,585.13
8926,1256,2020-08-03 15:51:00,4,121,74833,A6061-02-2001-01,40.0
8949,1068,2020-08-20 18:42:00,4,411,70015,52,500.0
9040,1256,2020-10-13 13:50:00,4,131,74833,A7050-02-1911-01,40.0
9049,1256,2020-10-20 13:46:00,4,111,75785,US81632,500.0
9079,1256,2020-11-05 19:57:00,4,226,75782,11,285.76
9127,804,2020-12-02 17:36:00,4,323,75536,501458,261.32
9189,1256,2020-12-31 21:38:00,4,227,76426,31,1197.5
9463,1256,2021-05-25 21:11:00,4,261,,W41445,21.78
9466,1256,2021-05-26 19:31:00,4,226,81874,11,295.78
10481,1435,2021-06-03 17:31:00,4,121,81866,A6061-02-1908-01,15.0
10754,3623,2021-10-15 19:17:00,4,611,76582,12,400.0
10797,1480,2021-11-05 20:32:00,4,323,75536,501570,59.0
10805,1480,2021-11-10 22:29:00,4,323,75536,501458,127.12
10819,1480,2021-11-17 17:48:00,4,323,75536,501571,181.6
10873,1480,2021-12-17 16:56:00,4,252,86697,32,250.0
11004,1480,2022-02-23 23:30:00,4,228,87712,29,365.0
11006,1480,2022-02-23 23:48:00,4,323,87880,512557,299.0
11079,1435,2022-03-23 17:01:00,4,323,87880,520203,108.84
11155,3623,2022-04-22 19:28:00,4,312,86335,23,600.0
11369,1435,2022-07-19 16:27:00,4,121,81866,A6061-02-1909-01,50.0
11386,3623,2022-07-25 21:29:00,4,228,87712,32,600.0
11410,1435,2022-08-02 21:19:00,4,121,81866,A6061-02-2103-01,30.0
11412,3623,2022-08-02 22:13:00,4,111,91826,US81781,300.0
11450,3623,2022-08-15 22:47:00,4,323,91745,521173,204.0
11458,3623,2022-08-17 21:59:00,4,323,91745,521242,299.0
11528,3623,2022-09-12 23:07:00,4,411,93762,55,300.0
11603,3623,2022-10-12 20:25:00,4,312,94733,23,460.0
11638,3623,2022-10-25 18:59:00,4,411,93763,56,294.0
11696,3623,2022-11-17 17:15:00,4,214,95611,US81771,400.0
11850,3623,2023-01-24 20:04:00,4,322,96834,981239,500.0
11853,3623,2023-01-25 21:33:00,4,228,96897,38,600.0
11991,3623,2023-03-17 17:09:00,4,322,98066,"1061292, 1037789",500.0
